"County","FIPS","Year","Measure Type","Variable","Value"
"Windham County","09015","1997","Number","Housing Permits",323
"Windham County","09015","1997","Percent","Housing Permits",3.5
"Windham County","09015","1998","Number","Housing Permits",435
"Windham County","09015","1998","Percent","Housing Permits",3.7
"Windham County","09015","1999","Number","Housing Permits",392
"Windham County","09015","1999","Percent","Housing Permits",3.7
"Windham County","09015","2000","Number","Housing Permits",376
"Windham County","09015","2000","Percent","Housing Permits",4
"Windham County","09015","2001","Number","Housing Permits",434
"Windham County","09015","2001","Percent","Housing Permits",4.7
"Windham County","09015","2002","Number","Housing Permits",542
"Windham County","09015","2002","Percent","Housing Permits",5.6
"Windham County","09015","2003","Number","Housing Permits",554
"Windham County","09015","2003","Percent","Housing Permits",5.3
"Windham County","09015","2004","Number","Housing Permits",592
"Windham County","09015","2004","Percent","Housing Permits",5
"Windham County","09015","2005","Number","Housing Permits",593
"Windham County","09015","2005","Percent","Housing Permits",5
"Windham County","09015","2006","Number","Housing Permits",458
"Windham County","09015","2006","Percent","Housing Permits",5
"Windham County","09015","2007","Number","Housing Permits",303
"Windham County","09015","2007","Percent","Housing Permits",3.9
"Windham County","09015","2008","Number","Housing Permits",171
"Windham County","09015","2008","Percent","Housing Permits",3.3
"Windham County","09015","2009","Number","Housing Permits",150
"Windham County","09015","2009","Percent","Housing Permits",4
"Windham County","09015","2010","Number","Housing Permits",200
"Windham County","09015","2010","Percent","Housing Permits",5.1
"Windham County","09015","2011","Number","Housing Permits",104
"Windham County","09015","2011","Percent","Housing Permits",3.3
"Windham County","09015","2012","Number","Housing Permits",94
"Windham County","09015","2012","Percent","Housing Permits",2
"Windham County","09015","2013","Number","Housing Permits",99
"Windham County","09015","2013","Percent","Housing Permits",1.8
"Windham County","09015","2014","Number","Housing Permits",116
"Windham County","09015","2014","Percent","Housing Permits",2.2
"Windham County","09015","2015","Number","Housing Permits",93
"Windham County","09015","2015","Percent","Housing Permits",1.5
"Windham County","09015","2016","Number","Housing Permits",131
"Windham County","09015","2016","Percent","Housing Permits",2.4
"Windham County","09015","2017","Number","Housing Permits",134
"Windham County","09015","2017","Percent","Housing Permits",2.9
